Code,Cost,Full Name,Contents,Type
MPH,$80.00,Mycoplasma Hominis,Mycoplasma Hominis,Single Test
MYM,$72.00,Mycoplasma IgM Antibody,Mycoplasma IgM Antibody,Single Test
NIG,$80.00,Neisseria Gonorrhoeae,Neisseria Gonorrhoeae,Single Test
NIE,$168.00,Nickel (Serum),Nickel (Serum),Single Test
BNP,$140.00,NT-pro BNP,NT-pro BNP,Single Test
CNR,$21.00,Nucleated RBC,Nucleated RBC,Single Test
PCV,$15.00,Packed Cell Volume,Packed Cell Volume,Single Test
PTH,$55.00,Parathyroid Hormone (iPTH),Parathyroid Hormone (iPTH),Single Test
PHO,$9.00,Phosphate,Phosphate,Single Test
UPH,$23.00,Phosphate (24-hr Urine),Phosphate (24-hr Urine),Single Test
UPR,$20.00,"Phosphate, Random Urine","Phosphate, Random Urine",Single Test
PLT,$15.00,Platelet Count,Platelet Count,Single Test
K,$9.00,Potassium,Potassium,Single Test
UK,$23.00,Potassium (24-hr Urine),Potassium (24-hr Urine),Single Test
RUK,$18.00,"Potassium, Random Urine","Potassium, Random Urine",Single Test
PCT,$174.00,Procalcitonin,Procalcitonin,Single Test
PRG,$35.00,Progesterone,Progesterone,Single Test
PRL,$35.00,Prolactin,Prolactin,Single Test
PHI,$198.00,Prostate Health Index (PHI),Prostate Health Index (PHI),Single Test
PSA,$55.00,Prostate Specific Antigen (PSA),Prostate Specific Antigen (PSA),Single Test
TP,$9.00,"Protein, Total","Protein, Total",Single Test
UTP,$24.00,"Protein, Total (24-hr Urine)","Protein, Total (24-hr Urine)",Single Test
UPC,$35.00,Protein/Creatinine Ratio,Protein/Creatinine Ratio,Single Test
RBC,$15.00,Red Blood Cells,Red Blood Cells,Single Test
IND,$15.00,Red Cell Indices,Red Cell Indices,Single Test
RMC,$780.00,Respiratory Multiplex PCR,Respiratory Multiplex PCR,Single Test
RET,$18.00,Reticulocyte Count,Reticulocyte Count,Single Test
RHB,$26.00,Reticulocyte Hemoglobin,Reticulocyte Hemoglobin,Single Test
RA,$29.00,Rheumatoid Factor (RF),Rheumatoid Factor (RF),Single Test
ROV,$70.00,Rotavirus Antigen Detection,Rotavirus Antigen Detection,Single Test
RUG,$29.00,Rubella IgG Antibody,Rubella IgG Antibody,Single Test
SE,$174.00,Selenium (Serum),Selenium (Serum),Single Test
SLU,$153.00,Selenium Urine,Selenium Urine,Single Test
SLN,$168.00,Selenium Whole Blood,Selenium Whole Blood,Single Test
SEM,$126.00,Seminal Analysis,Seminal Analysis,Single Test
CLI,$124.00,Serum Cholinesterase,Serum Cholinesterase,Single Test
SHB,$97.00,Sex Hormone Binding Globulin (SHBG),Sex Hormone Binding Globulin (SHBG),Single Test
SCD,$21.00,Sickling Screen,Sickling Screen,Single Test
SCB,$45.00,Skin Scrape for Scabies,Skin Scrape for Scabies,Single Test
,$9.00,Sodium,Sodium,Single Test
UNA,$24.00,Sodium (24-hr Urine),Sodium (24-hr Urine),Single Test
RUS,$18.00,"Sodium, Random Urine","Sodium, Random Urine",Single Test
H80,$150.00,Special Stain (Each),Special Stain (Each),Single Test
SC,$27.00,Sperm Count after Vasectomy,Sperm Count after Vasectomy,Single Test
SCC,$123.00,Squamous Cell Carcinoma Antigen,Squamous Cell Carcinoma Antigen,Single Test
FH,$47.00,Stool & Urine CS for 1 Day Only (Salmonella & Shigella),Stool & Urine CS for 1 Day Only (Salmonella & Shigella),Single Test
FHXD,$113.00,Stool & Urine CS for 3 Days (Salmonella & Shigella),Stool & Urine CS for 3 Days (Salmonella & Shigella),Single Test
FAE,$52.00,Stool FEME & Occult Blood (OCC),Stool FEME & Occult Blood (OCC),Single Test
SFE,$45.00,"Stool FEME- Ova, Parasite (Concentrated)","Stool FEME- Ova, Parasite (Concentrated)",Single Test
FHS,$44.00,Stool for 1 Day Only,Stool for 1 Day Only,Single Test
SDXD,$85.00,Stool for 3 Days,Stool for 3 Days,Single Test
BSA,$350.00,Stool for Helicobacter Antigen,Stool for Helicobacter Antigen,Single Test
OCC,$11.00,Stool Occult Blood - Peroxidase,Stool Occult Blood - Peroxidase,Single Test
FOB,$28.00,Stool Occult Blood – Immunological,Stool Occult Blood – Immunological,Single Test
SD1,$44.00,Stool – Day 1,Stool – Day 1,Single Test
SD2,$44.00,Stool – Day 2,Stool – Day 2,Single Test
SD3,$44.00,Stool – Day 3,Stool – Day 3,Single Test
TQP,$325.00,TB QuantiFERON® - Gold In-tube,TB QuantiFERON® - Gold In-tube,Single Test
TES,$35.00,"Testosterone, Total","Testosterone, Total",Single Test
TL,$168.00,Thallium,Thallium,Single Test
TLU,$153.00,Thallium Urine,Thallium Urine,Single Test
TPREP,$60.00,ThinPrep Test,ThinPrep Test,Single Test
UTPREP,$30.00,ThinPrep Test: Urgent Surcharge,ThinPrep Test: Urgent Surcharge,Single Test
UTHI,$30.00,ThinPrep Test: Urgent Surcharge (in addition to THI),ThinPrep Test: Urgent Surcharge (in addition to THI),Single Test
TCT,$25.00,Thrombin Clotting Time,Thrombin Clotting Time,Single Test
TYG,$124.00,Thyroglobulin,Thyroglobulin,Single Test
THA,$36.00,Thyroglobulin Antibody,Thyroglobulin Antibody,Single Test
TPO,$50.00,Thyroid Peroxidase Antibody (Anti-TPO),Thyroid Peroxidase Antibody (Anti-TPO),Single Test
TSH,$34.00,Thyroid Stimulating Hormone (TSH),Thyroid Stimulating Hormone (TSH),Single Test
TRA,$98.00,Thyroid Stimulating Hormone Receptor Antibody (TRAB),Thyroid Stimulating Hormone Receptor Antibody (TRAB),Single Test
A01,$59.00,Total IGE,Total IGE,Single Test
T3,$48.00,Total Triiodothyronine,Total Triiodothyronine,Single Test
VIT,$125.00,Total Vitamin D (Immunoassay),Total Vitamin D (Immunoassay),Single Test
VHP,$185.00,Total Vitamin D (With D2 & D3 Readings),Total Vitamin D (With D2 & D3 Readings),Single Test
TOG,$47.00,Toxoplasma IgG Antibody,Toxoplasma IgG Antibody,Single Test
TOP,$52.00,Toxoplasma IgM Antibody,Toxoplasma IgM Antibody,Single Test
TPL,$30.00,TPLA,TPLA,Single Test
TFN,$25.00,Transferrin,Transferrin,Single Test
TEP,$168.00,Treponema Pallidum,Treponema Pallidum,Single Test
TVG,$80.00,Trichomonas Vaginalis,Trichomonas Vaginalis,Single Test
TRI,$9.00,Triglycerides,Triglycerides,Single Test
H209,$300.00,TRUS Prostatic Biopsies (6-piece block),TRUS Prostatic Biopsies (6-piece block),Single Test
TTM,$389.00,tt-muconic (biomarker for Benzene Exposure),tt-muconic (biomarker for Benzene Exposure),Single Test
URE,$9.00,Urea,Urea,Single Test
UUR,$24.00,Urea (24-hr Urine),Urea (24-hr Urine),Single Test
UBT,$74.00,Urea Breath Test,Urea Breath Test,Single Test
UBK,$140.00,Urea Breath Test Kit,Urea Breath Test Kit,Single Test
UUE,$18.00,"Urea, Random Urine","Urea, Random Urine",Single Test
UPV,$80.00,Ureaplasma Parvum,Ureaplasma Parvum,Single Test
UUT,$80.00,Ureaplasma Urealyticum,Ureaplasma Urealyticum,Single Test
UA,$9.00,Uric Acid,Uric Acid,Single Test
UUA,$24.00,Uric Acid (24-hr Urine),Uric Acid (24-hr Urine),Single Test
URI,$18.00,"Uric Acid, Random Urine","Uric Acid, Random Urine",Single Test
ASU,$69.00,Urine Arsenic,Urine Arsenic,Single Test
BAR,$53.00,Urine Barbiturates,Urine Barbiturates,Single Test
BEN,$57.00,Urine Benzodiazepines,Urine Benzodiazepines,Single Test
UBE,$160.00,Urine Beta-2-Microglobulin,Urine Beta-2-Microglobulin,Single Test
CDU,$97.00,Urine Cadmium,Urine Cadmium,Single Test
COE,$59.00,Urine Cocaine,Urine Cocaine,Single Test
CUU,$81.00,Urine Copper,Urine Copper,Single Test
CUR,$69.00,Urine Cotinine,Urine Cotinine,Single Test
UDS,$9.00,Urine Dipstick,Urine Dipstick,Single Test
UAN,$11.00,Urine FEME,Urine FEME,Single Test
USC,$70.00,Urine FEME & Urine Culture,Urine FEME & Urine Culture,Single Test
UGL,$11.00,Urine Glucose (Fasting),Urine Glucose (Fasting),Single Test
UGQ,$10.00,Urine Glucose (Quantitative),Urine Glucose (Quantitative),Single Test
UGR,$11.00,Urine Glucose (Random),Urine Glucose (Random),Single Test
UBC,$12.00,Urine Labstix Examination,Urine Labstix Examination,Single Test
PBR,$93.00,Urine Lead,Urine Lead,Single Test
MNU,$69.00,Urine Manganese,Urine Manganese,Single Test
HGU,$139.00,Urine Mercury,Urine Mercury,Single Test
MAP,$93.00,Urine Methamphetamine,Urine Methamphetamine,Single Test
CCR,$21.00,Urine Microalb/Cre MG/G,Urine Microalb/Cre MG/G,Single Test
MCR,$32.00,Urine Microalb/Cre Ratio,Urine Microalb/Cre Ratio,Single Test
OPA,$32.00,Urine Morphine,Urine Morphine,Single Test
NI,$168.00,Urine Nickel,Urine Nickel,Single Test
PHC,$34.00,Urine Phase Contrast,Urine Phase Contrast,Single Test
UPR,$18.00,Urine Pregnancy,Urine Pregnancy,Single Test
SG,$11.00,Urine Specific Gravity,Urine Specific Gravity,Single Test
VRE,$54.00,Vancomycin Resistant Enterococci Screening,Vancomycin Resistant Enterococci Screening,Single Test
VRZ,$168.00,Varicella Zoster Virus,Varicella Zoster Virus,Single Test
VAR,$45.00,Varicella-Zoster IgG Antibody,Varicella-Zoster IgG Antibody,Single Test
VD,$11.00,VD (Syphilis TP Ab),VD (Syphilis TP Ab),Single Test
B12,$34.00,Vitamin B12,Vitamin B12,Single Test
ZN,$75.00,Zinc (Serum),Zinc (Serum),Single Test
ZIN,$70.00,"Zinc, Whole Blood","Zinc, Whole Blood",Single Test
